6, 229, 200, -nan, 5945.32, -nan, 0, -nan, 593.635, -nan, 268.121, -nan, 5863.99
6, 230, 200, -nan, 6298.09, -nan, 0, -nan, 606.023, -nan, 245.468, -nan, 6187.32
6, 231, 200, -nan, 6337.26, -nan, 0, -nan, 261.754, -nan, 129.999, -nan, 6307.72
6, 232, 200, -nan, 7216.17, -nan, 0, -nan, 471.199, -nan, 226.755, -nan, 7171.46
6, 233, 200, -nan, 6545.7, -nan, 0, -nan, 638.582, -nan, 473.101, -nan, 6430.81
6, 234, 200, -nan, 7474.63, -nan, 0, -nan, 491.831, -nan, 238.376, -nan, 7423.72
6, 235, 200, -nan, 6599.1, -nan, 0, -nan, 369.059, -nan, 80.493, -nan, 6567.42
6, 236, 200, 43370.2, 6173.13, 0, 0, 5770.84, 352.042, 0, 127.987, 42984.5, 6138.32
6, 237, 200, 91.0651, 5960.12, 0, 0, 83.9694, 322.211, 0, 233.947, 35.2401, 5925.54
6, 238, 200, -nan, 6750.48, -nan, 0, -nan, 389.606, -nan, 182.31, -nan, 6714.41
6, 239, 200, -nan, 6574.78, -nan, 0, -nan, 582.69, -nan, 273.358, -nan, 6488.91
7, 240, 200, -nan, 7235.33, -nan, 0, -nan, 504.171, -nan, 216.442, -nan, 7187.14
7, 241, 200, -nan, 6726.79, -nan, 0, -nan, 381.779, -nan, 303.436, -nan, 6664.81
7, 242, 200, -nan, 7125.6, -nan, 0, -nan, 536.369, -nan, 259.036, -nan, 7070.97
7, 243, 200, 6849.87, 6833.14, 0, 0, 539.559, 397.179, 0, 177.659, 6820.07, 6769.72
7, 244, 200, -nan, 6290.06, -nan, 0, -nan, 645.738, -nan, 390.91, -nan, 6164.9
7, 245, 200, 12627, 6524.73, 0, 0, 0, 356.634, 1048.23, 186.675, 12539, 6491.58
7, 246, 200, -nan, 7005.16, -nan, 0, -nan, 422.347, -nan, 231.312, -nan, 6944.85
7, 247, 200, -nan, 7000.51, -nan, 0, -nan, 474.871, -nan, 163.001, -nan, 6961.45
7, 248, 200, -nan, 5830.18, -nan, 0, -nan, 476.528, -nan, 322.88, -nan, 5763.24
7, 249, 200, 1606.41, 6701.56, 223.161, 8.54701, 1147.78, 340.891, 770.812, 313.411, 681.897, 6651.52
7, 250, 200, 7157.95, 6517.26, 0, 0, 279.98, 481.26, 311.022, 303.228, 7107.3, 6423.66
7, 251, 200, -nan, 7182.07, -nan, 0, -nan, 297.218, -nan, 98.7758, -nan, 7157.17
7, 252, 200, -nan, 6513.07, -nan, 0, -nan, 477.284, -nan, 349.79, -nan, 6440.02
7, 253, 200, -nan, 6132.94, -nan, 0, -nan, 517.399, -nan, 243.816, -nan, 6049.37
7, 254, 200, -nan, 5672.95, -nan, 0, -nan, 832.846, -nan, 436.069, -nan, 5494.37
7, 255, 200, -nan, 6657.55, -nan, 0, -nan, 410.299, -nan, 265.071, -nan, 6611.8
7, 256, 200, -nan, 6406.39, -nan, 0, -nan, 362.598, -nan, 239.674, -nan, 6360.56
