11, 407, 200, -nan, 0.649507, -nan, 0.00525935
11, 408, 200, 0.0625, 0.690584, -0.848536, 0.00598629
11, 409, 200, 0.125, 0.66327, -0.832119, 0.00597916
11, 410, 200, 0.333333, 0.672665, -0.522234, 0.00465469
11, 411, 200, 0.125, 0.663996, -0.826263, 0.00581263
11, 412, 200, 0.0526316, 0.669244, -0.767023, 0.00542415
11, 413, 200, 0.0625, 0.660666, -0.813841, 0.00290518
11, 414, 200, 0.03125, 0.807178, -0.85318, 0.00594161
11, 415, 200, 0.0625, 0.643373, -0.786681, 0.00548591
11, 416, 200, 0.03125, 0.651041, -0.794179, 0.00325708
11, 417, 200, 0.0625, 0.661493, -0.831837, 0.00545794
11, 418, 200, 0.0625, 0.676191, -0.810834, 0.0052497
11, 419, 200, 0.0344828, 0.654915, -0.793594, 0.00377528
11, 420, 200, 0.0277778, 0.70047, -0.771501, 0.0053719
11, 421, 200, 0.1, 0.652765, -0.689547, 0.00539105
11, 422, 200, 0.0238095, 0.64867, -0.772754, 0.00445253
11, 423, 200, 0.0384615, 0.688928, -0.68127, 0.00539957
11, 424, 200, 0.1, 0.664174, -0.755402, 0.00563422
11, 425, 200, 0.0714286, 0.683591, -0.877698, 0.00438747
11, 426, 200, 0.04, 0.669138, -0.77899, 0.00543131
11, 427, 200, -nan, 0.611966, -nan, 0.0052865
11, 428, 200, -nan, 0.641737, -nan, 0.00367882
11, 429, 200, 0.037037, 0.659724, -0.807654, 0.0055136
11, 430, 200, 0.0555556, 0.699771, -0.827589, 0.00545018
11, 431, 200, 0.0294118, 0.665796, -0.851504, 0.00514322
11, 432, 200, -nan, 0.677871, -nan, 0.00546033
11, 433, 200, -nan, 0.698275, -nan, 0.00533791
11, 434, 200, -nan, 0.642293, -nan, 0.00289144
11, 435, 200, -nan, 0.647968, -nan, 0.00520503
11, 436, 200, 0.0625, 0.653093, -0.939413, 0.00547832
11, 437, 200, 0.125, 0.602868, -0.840012, 0.00456016
11, 438, 200, 0.05, 0.632277, -0.794773, 0.00551966
11, 439, 200, -nan, 0.648956, -nan, 0.00540004
12, 440, 200, -nan, 0.604511, -nan, 0.0047995
12, 441, 200, 0.0769231, 0.688186, -0.768317, 0.00537169
12, 442, 200, 0.125, 0.660402, -0.837814, 0.00544759
12, 443, 200, 0.0769231, 0.663808, -0.805511, 0.00531427
12, 444, 200, -nan, 0.641746, -nan, 0.00525394
12, 445, 200, -nan, 0.670832, -nan, 0.005188
12, 446, 200, -nan, 0.677306, -nan, 0.00368021
12, 447, 200, -nan, 0.673375, -nan, 0.00563909
12, 448, 200, -nan, 0.655988, -nan, 0.00512578
12, 449, 200, -nan, 0.652892, -nan, 0.00366665
12, 450, 200, -nan, 0.638647, -nan, 0.00531185
12, 451, 200, -nan, 0.651044, -nan, 0.00537137
12, 452, 200, -nan, 0.644462, -nan, 0.00478504
12, 453, 200, 0.0322581, 0.660166, -0.858841, 0.0053911
12, 454, 200, -nan, 0.65309, -nan, 0.0053887
12, 455, 200, -nan, 0.676172, -nan, 0.0043672
12, 456, 200, -nan, 0.656638, -nan, 0.00520249
12, 457, 200, -nan, 0.637812, -nan, 0.00531194
12, 458, 200, 0.125, 0.685718, -0.855598, 0.00452889
12, 459, 200, -nan, 0.6749, -nan, 0.00554941
12, 460, 200, -nan, 0.636097, -nan, 0.00528604
12, 461, 200, 0.0625, 0.656955, -0.858849, 0.00406546
12, 462, 200, -nan, 0.673627, -nan, 0.00517042
