5, 171, 200, -nan, 6150.83, -nan, 0, -nan, 1058.63, -nan, 702.199, -nan, 5846.17
5, 172, 200, -nan, 5672.37, -nan, 0, -nan, 664.125, -nan, 302.225, -nan, 5543.39
5, 173, 200, 10746.9, 6632.05, 184.669, 0, 494.114, 791.482, 817.252, 447.583, 10592.6, 6484.37
5, 174, 200, 792.965, 5909.03, 83.2625, 0, 318.829, 1649.35, 557.424, 914.595, 420.235, 5259.16
5, 175, 200, 4410.98, 6989.58, 181.676, 0, 218.794, 1229.62, 493.708, 812.839, 4278.37, 6560.38
5, 176, 200, 8339.93, 6030.9, 0, 0, 0, 873.622, 558.907, 535.375, 8294.46, 5792.96
5, 177, 200, -nan, 5102.55, -nan, 0, -nan, 1470.58, -nan, 899.828, -nan, 4536.02
5, 178, 200, 6673.51, 7363.84, 0, 0, 423.554, 1092.47, 0, 720.31, 6631.82, 7073.17
5, 179, 200, -nan, 5288.5, -nan, 0, -nan, 1902.22, -nan, 954.162, -nan, 4436.54
5, 180, 200, -nan, 4699.65, -nan, 0, -nan, 1521.98, -nan, 1087.38, -nan, 4045.53
5, 181, 200, 1491.79, 9062.61, 389.268, 0, 921.29, 682.474, 922.929, 426.33, 597.379, 8932.4
5, 182, 200, 7680.8, 6707, 0, 0, 527.459, 1409.85, 0, 929.113, 7642.34, 6202.21
5, 183, 200, 1213.58, 6658.69, 269.721, 0, 874.606, 1177.49, 489.329, 766.761, 611.453, 6337.86
5, 184, 200, 4e-124, 5279.41, 0, 0, 2.64575e-124, 1527.02, 2.23607e-124, 884.772, 2e-124, 4757.14
5, 185, 200, -nan, 5879.51, -nan, 8.87372, -nan, 983.602, -nan, 724.419, -nan, 5607.22
5, 186, 200, 1793.27, 6169.22, 0, 6.11399, 475.307, 1046.85, 0, 694.431, 1708.06, 5869.93
5, 187, 200, 15077, 7160.2, 286.912, 0, 1254.2, 820.309, 930.943, 540.748, 14738.8, 6976.8
5, 188, 200, -nan, 5502.53, -nan, 0, -nan, 1228.52, -nan, 855.577, -nan, 5062.3
5, 189, 200, 12544.4, 7201.88, 0, 0, 0, 615.299, 1005.07, 659.13, 12456.5, 7063.43
5, 190, 200, 1793.63, 6516.98, 0, 0, 598.653, 1184.76, 0, 862.681, 1662.48, 6145.66
5, 191, 200, -nan, 5836.78, -nan, 9.4962, -nan, 1893.91, -nan, 1392.36, -nan, 4939.19
5, 192, 200, -nan, 6166.37, -nan, 0, -nan, 666.578, -nan, 432.12, -nan, 6052.09
