6, 231, 200, -nan, 7063.05, -nan, 0, -nan, 0, -nan, 0, -nan, 7063.05
6, 232, 200, -nan, 7068.23, -nan, 0, -nan, 0, -nan, 0, -nan, 7068.23
6, 233, 200, -nan, 7171.42, -nan, 0, -nan, 0, -nan, 0, -nan, 7171.42
6, 234, 200, -nan, 6387.07, -nan, 0, -nan, 0, -nan, 0, -nan, 6387.07
6, 235, 200, 26039, 8007.61, 0, 0, 0, 0, 0, 0, 26039, 8007.61
6, 236, 200, -nan, 6612.13, -nan, 0, -nan, 0, -nan, 0, -nan, 6612.13
6, 237, 200, -nan, 6736.2, -nan, 0, -nan, 0, -nan, 0, -nan, 6736.2
6, 238, 200, -nan, 7001.24, -nan, 0, -nan, 0, -nan, 0, -nan, 7001.24
6, 239, 200, -nan, 6812.73, -nan, 0, -nan, 0, -nan, 0, -nan, 6812.73
7, 240, 200, -nan, 7928.95, -nan, 0, -nan, 0, -nan, 0, -nan, 7928.95
7, 241, 200, -nan, 5852.95, -nan, 0, -nan, 0, -nan, 0, -nan, 5852.95
7, 242, 200, -nan, 7118.53, -nan, 0, -nan, 0, -nan, 0, -nan, 7118.53
7, 243, 200, -nan, 7010.29, -nan, 0, -nan, 0, -nan, 0, -nan, 7010.29
7, 244, 200, -nan, 6276.75, -nan, 0, -nan, 0, -nan, 0, -nan, 6276.75
7, 245, 200, -nan, 6701.39, -nan, 0, -nan, 0, -nan, 0, -nan, 6701.39
7, 246, 200, -nan, 7019.19, -nan, 0, -nan, 0, -nan, 0, -nan, 7019.19
7, 247, 200, 9509.73, 7182.76, 0, 0, 0, 0, 0, 0, 9509.73, 7182.76
7, 248, 200, -nan, 7261.97, -nan, 0, -nan, 0, -nan, 0, -nan, 7261.97
7, 249, 200, -nan, 7118.78, -nan, 0, -nan, 0, -nan, 0, -nan, 7118.78
7, 250, 200, -nan, 7379.3, -nan, 0, -nan, 0, -nan, 0, -nan, 7379.3
7, 251, 200, 9636.1, 7859, 0, 0, 0, 0, 0, 0, 9636.1, 7859
7, 252, 200, -nan, 6609.65, -nan, 0, -nan, 0, -nan, 0, -nan, 6609.65
7, 253, 200, 8459.13, 7031.03, 0, 0, 0, 0, 0, 0, 8459.13, 7031.03
7, 254, 200, 15039.1, 7206.2, 0, 0, 0, 0, 0, 0, 15039.1, 7206.2
7, 255, 200, 15711.5, 7428.86, 0, 0, 0, 0, 0, 0, 15711.5, 7428.86
7, 256, 200, 24150.3, 7709.65, 0, 0, 0, 0, 0, 0, 24150.3, 7709.65
7, 257, 200, 9931.42, 7343.02, 0, 0, 0, 0, 0, 0, 9931.42, 7343.02
7, 258, 200, -nan, 7187.65, -nan, 0, -nan, 0, -nan, 0, -nan, 7187.65
