11, 416, 200, -nan, 0.573935, -nan, 0.0174923
11, 417, 200, -nan, 0.579261, -nan, 0.0166432
11, 418, 200, -nan, 0.58755, -nan, -0.0092104
11, 419, 200, -nan, 0.55437, -nan, 0.000766615
11, 420, 200, -nan, 0.671868, -nan, -0.0153856
11, 421, 200, -nan, 0.599713, -nan, -0.0130909
11, 422, 200, -nan, 0.646304, -nan, -0.0189161
11, 423, 200, -nan, 0.629288, -nan, 0.0113519
11, 424, 200, -nan, 0.518181, -nan, 0.0184875
11, 425, 200, -nan, 0.529851, -nan, -0.00756495
11, 426, 200, -nan, 0.585357, -nan, -0.00719344
11, 427, 200, -nan, 0.552368, -nan, 0.0203688
11, 428, 200, -nan, 0.611298, -nan, -0.00146597
11, 429, 200, -nan, 0.62635, -nan, 0.013325
11, 430, 200, -nan, 0.609025, -nan, -0.0153393
11, 431, 200, 0.0625, 0.729552, -0.836184, -0.0166551
11, 432, 200, -nan, 0.57408, -nan, 0.000475285
11, 433, 200, -nan, 0.524074, -nan, -0.00905888
11, 434, 200, 0.05, 0.576585, -0.84937, 0.0164149
11, 435, 200, 0.0625, 0.59505, -0.843532, 0.0144885
11, 436, 200, -nan, 0.607037, -nan, -0.011687
11, 437, 200, -nan, 0.526143, -nan, -0.0115457
11, 438, 200, -nan, 0.59154, -nan, 0.0135063
11, 439, 200, 0.125, 0.568508, -0.830039, -0.0186864
12, 440, 200, -nan, 0.574923, -nan, -0.00233867
12, 441, 200, -nan, 0.593012, -nan, 0.00293432
12, 442, 200, -nan, 0.648785, -nan, 0.0221239
12, 443, 200, 0.0625, 0.602134, -0.872214, -0.0122677
12, 444, 200, 0.0285714, 0.740627, -0.882197, -0.013447
12, 445, 200, -nan, 0.595001, -nan, -0.0141248
12, 446, 200, -nan, 0.549914, -nan, 0.00808135
12, 447, 200, -nan, 0.579014, -nan, -0.00954856
12, 448, 200, -nan, 0.54416, -nan, 0.0118968
12, 449, 200, -nan, 0.639988, -nan, -0.0104148
12, 450, 200, -nan, 0.617003, -nan, 0.00461831
12, 451, 200, -nan, 0.565258, -nan, -0.00871241
12, 452, 200, -nan, 0.532909, -nan, 0.015142
12, 453, 200, -nan, 0.592143, -nan, 0.0226111
12, 454, 200, -nan, 0.803774, -nan, 0.0216433
12, 455, 200, -nan, 0.614214, -nan, 0.012456
12, 456, 200, 0.0833333, 0.583383, -0.912289, -0.00592636
12, 457, 200, 0.0357143, 0.630431, -0.957983, 0.015142
12, 458, 200, -nan, 0.613251, -nan, -0.00816814
12, 459, 200, -nan, 0.633828, -nan, -0.00888325
12, 460, 200, -nan, 0.787045, -nan, -0.0169944
12, 461, 200, -nan, 0.58422, -nan, 0.00673792
12, 462, 200, -nan, 0.556684, -nan, 0.0195234
12, 463, 200, -nan, 0.564093, -nan, 0.00581046
12, 464, 200, -nan, 0.61158, -nan, -0.0101935
12, 465, 200, -nan, 0.593247, -nan, 0.020362
12, 466, 200, -nan, 0.603943, -nan, 0.00269694
12, 467, 200, -nan, 0.539913, -nan, 0.0203943
12, 468, 200, -nan, 0.591021, -nan, -0.00100565
12, 469, 200, -nan, 0.499411, -nan, -0.00161011
12, 470, 200, -nan, 0.551942, -nan, -0.0132498
12, 471, 200, -nan, 0.619445, -nan, 0.00979447
12, 472, 200, -nan, 0.646508, -nan, -0.0130893
12, 473, 200, -nan, 0.542295, -nan, -0.0118726
12, 474, 200, 0.125, 0.534179, -0.845989, 0.0153646
12, 475, 200, -nan, 0.566198, -nan, 0.0148911
12, 476, 200, -nan, 0.603508, -nan, 0.0185024
12, 477, 200, -nan, 0.604928, -nan, 0.0137345
12, 478, 200, 0.125, 0.592934, -0.846558, 0.0169386
12, 479, 200, -nan, 0.597422, -nan, 0.0158393
13, 480, 200, 0.125, 0.591395, -0.896577, -0.00231635
13, 481, 200, 0.125, 0.558627, -0.89522, 0.00478015
13, 482, 200, -nan, 0.572938, -nan, 0.00453285
13, 483, 200, 0.05, 0.596673, -0.938232, -0.0163259
13, 484, 200, -nan, 0.571306, -nan, -0.017451
13, 485, 200, -nan, 0.570647, -nan, -0.00543874
13, 486, 200, -nan, 0.521614, -nan, 0.01557
13, 487, 200, 0.125, 0.642127, -0.947062, -0.010523
13, 488, 200, 0.0555556, 0.658691, -0.913214, 0.0207745
13, 489, 200, -nan, 0.62595, -nan, -0.00507018
13, 490, 200, -nan, 0.626934, -nan, 0.00943809
13, 491, 200, 1.29441, 0.561116, -0.49311, 0.00132549
13, 492, 200, 0.0227273, 0.593809, -0.934553, 0.0153749
13, 493, 200, 0.0666667, 0.57819, -0.987571, -0.00832797
13, 494, 200, -nan, 0.678487, -nan, -0.0135293
13, 495, 200, -nan, 0.564434, -nan, 0.0029526
13, 496, 200, 0.125, 0.68123, -0.828137, 0.017852
13, 497, 200, -nan, 0.575487, -nan, -0.0128915
